SCI_NAME,Species,Sciname,SPECIES_CODE,PRIMARY_COM_NAME,USABLE,LiberEro
Peucaea_cassinii,Cassin's Sparrow,Peucaea cassinii,casspa,Cassin's_Sparrow,,0
Vireo_cassinii,Cassin's Vireo,Vireo cassinii,casvir,Cassin's_Vireo,,1
Petrochelidon_fulva,Cave Swallow,Petrochelidon fulva,cavswa,Cave_Swallow,,1
Bombycilla_cedrorum,Cedar Waxwing,Bombycilla cedrorum,cedwax,Cedar_Waxwing,,0
Setophaga_cerulea,Cerulean Warbler,Setophaga cerulea,cerwar,Cerulean_Warbler,,1
Calcarius_ornatus,Chestnut-collared Longspur,Calcarius ornatus,chclon,Chestnut-collared_Longspur,,0
Chaetura_pelagica,Chimney Swift,Chaetura pelagica,chiswi,Chimney_Swift,,1
Setophaga_pensylvanica,Chestnut-sided Warbler,Setophaga pensylvanica,chswar,Chestnut-sided_Warbler,,1
Muscisaxicola_capistratus,Cinnamon-bellied Ground-Tyrant,Muscisaxicola capistratus,cibgrt1,Cinnamon-bellied_Ground-Tyrant,MAYBE,0
Muscisaxicola_cinereus,Cinereous Ground-Tyrant,Muscisaxicola cinereus,cingrt1,Cinereous_Ground-Tyrant,MAYBE,0
Spizella_pallida,Clay-colored_Sparrow,Spizella pallida,clcspa,Clay-colored_Sparrow,,0
Petrochelidon_pyrrhonota,Cliff Swallow,Petrochelidon pyrrhonota,cliswa,Cliff_Swallow,,1
Chordeiles_minor,Common Nighthawk,Chordeiles minor,comnig,Common_Nighthawk,,1
Geothlypis_trichas,Common Yellowthroat,Geothlypis trichas,comyel,Common_Yellowthroat,,1
Oporornis_agilis,Connecticut Warbler,Oporornis agilis,conwar,Connecticut_Warbler,,1
Empidonax_occidentalis,Cordilleran Flycatcher,Empidonax occidentalis,corfly,Cordilleran_Flycatcher,,1
Tyrannus_couchii,Couch's Kingbird,Tyrannus couchii,coukin,Couch's_Kingbird,,0
Muscisaxicola_maclovianus,Dark-faced Ground-Tyrant,Muscisaxicola maclovianus,dafgrt1,Dark-faced_Ground-Tyrant,MAYBE,0
Spiza_americana,Dickcissel,Spiza americana,dickci,Dickcissel,,1
Calidris_alpina,Dunlin,Calidris alpina,dunlin,Dunlin,,0
Empidonax_oberholseri,Dusky Flycatcher,Empidonax oberholseri,dusfly,Dusky_Flycatcher,,1
Sialia_sialis,Eastern Bluebird,Sialia sialis,easblu,Eastern_Bluebird,,0
Tyrannus_tyrannus,Eastern Kingbird,Tyrannus tyrannus,easkin,Eastern_Kingbird,,1
Sturnella_magna,Eastern Meadowlark,Sturnella magna,easmea,Eastern_Meadowlark,,0
Sayornis_phoebe,Eastern Phoebe,Sayornis phoebe,easpho,Eastern_Phoebe,,0
Contopus_virens,Eastern Wood-Pewee,Contopus virens,eawpew,Eastern_Wood-Pewee,,1
Tyrannus_savana,Fork-tailed Flycatcher,Tyrannus savana,fotfly,Fork-tailed_Flycatcher,,0
Passerella_iliaca,Fox Sparrow,Passerella iliaca,foxspa,Fox_Sparrow,,0
Leucophaeus_pipixcan,Franklin's Gull,Leucophaeus pipixcan,fragul,Franklin's_Gull,,0
Setophaga_chrysoparia,Golden-cheeked Warbler,Setophaga chrysoparia,gchwar,Golden-cheeked_Warbler,,1
Regulus_satrapa,Golden-crowned Kinglet,Regulus satrapa,gockin,Golden-crowned_Kinglet,,0
Aquila_chrysaetos,Golden Eagle,Aquila chrysaetos,goleag,Golden_Eagle,,0
Vermivora_chrysoptera,Golden-winged Warbler,Vermivora chrysoptera,gowwar,Golden-winged_Warbler,,1
Ammodramus_savannarum,Grasshopper Sparrow,Ammodramus savannarum,graspa,Grasshopper_Sparrow,,0
Setophaga_graciae,Grace's Warbler,Setophaga graciae,grawar,Grace's_Warbler,,1
Myiarchus_crinitus,Great Crested Flycatcher,Myiarchus crinitus,grcfly,Great_Crested_Flycatcher,,1
